home_team,away_team,full_time_home_goals,full_time_away_goals,full_time_results,half_time_home_goals,half_time_away_goals,half_time_results,home_shots,away_shots,home_shots_ontarget,away_shots_ontarget,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,betbrain_avg_over_2.5goals,betbrain_max_under_2.5goals,betbrain_avg_under_2.5goals,no_betbrain_bookmarkers_asianhandicap,betbrain_size_handicap,betbrain_max_home_asianhandicap_odds,betbrain_avg_home_asianhandicap_odds,betbrain_max_away_asianhandicap_odds,betbrain_avg_away_asianhandicap_odds
Arsenal,Leicester,4,3,H,2,2,D,27,6,10,3,9,12,9,4,0,1,0,0,1.61,2.43,2.32,21,-1,1.91,1.85,2.1,2.02
Brighton,Man City,0,2,A,0,0,D,6,14,2,4,6,9,3,10,0,2,0,0,1.63,2.4,2.27,20,1.5,1.95,1.91,2.01,1.96
Chelsea,Burnley,2,3,A,0,3,A,19,10,6,5,16,11,8,5,3,3,2,0,1.66,2.33,2.23,20,-1.75,2.03,1.97,1.95,1.9
Crystal Palace,Huddersfield,0,3,A,0,2,A,14,8,4,6,7,19,12,9,1,3,0,0,2.11,1.79,1.72,18,-0.75,2.1,2.05,1.86,1.83
Watford,Liverpool,3,3,D,2,1,H,9,14,4,5,14,8,3,3,0,3,0,0,1.82,2.08,1.99,21,1,1.9,1.84,2.13,2.04
Man United,West Ham,4,0,H,1,0,H,22,9,6,1,19,7,11,1,2,2,0,0,1.7,2.25,2.16,19,-1.5,2.01,1.96,1.95,1.92
Newcastle,Tottenham,0,2,A,0,0,D,6,18,3,6,6,10,5,7,1,2,1,0,1.81,2.07,2.01,20,0.75,2.06,2,1.92,1.87
Bournemouth,Watford,0,2,A,0,0,D,6,19,2,7,6,14,8,5,1,3,0,0,1.82,2.07,2.01,18,-0.5,1.99,1.96,1.96,1.93
Leicester,Brighton,2,0,H,1,0,H,14,5,4,2,8,10,6,2,1,0,0,0,1.96,1.91,1.86,17,-0.75,1.98,1.94,1.98,1.93
Liverpool,Crystal Palace,1,0,H,0,0,D,23,4,13,1,12,13,4,2,1,3,0,0,1.57,2.52,2.4,17,-1.5,2.14,2.07,1.85,1.82
